iter	Passed	Remaining
0	0	84
1	1	72
2	2	65
3	2	59
4	3	59
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	7	60
11	8	65
12	9	64
13	10	63
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	64	1
98	65	0
99	65	0
